Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CuraAndDb,Chrome 119.0.0.0,,,2023-11-27 18:44:11,2023-11-27 18:45:18,1m - 7.153s,PASSED
,,,,,,,
Test Cases/CompanySearchDB,Chrome 119.0.0.0,,,2023-11-27 18:44:11,2023-11-27 18:44:35,24.494s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-27 18:44:12,2023-11-27 18:44:15,3.020s,PASSED
"navigateToUrl(""https://computer-database.gatling.io/computers"")",Chrome 119.0.0.0,,,2023-11-27 18:44:15,2023-11-27 18:44:18,3.497s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-27 18:44:18,2023-11-27 18:44:18,0.151s,PASSED
"setText(findTestObject(""Object Repository/ComputerSearchBD/Page_Computers database/input_Computer database_f""), ""HP"")",Chrome 119.0.0.0,,,2023-11-27 18:44:18,2023-11-27 18:44:19,0.970s,PASSED
"click(findTestObject(""Object Repository/ComputerSearchBD/Page_Computers database/input_Computer database_searchsubmit""))",Chrome 119.0.0.0,,,2023-11-27 18:44:19,2023-11-27 18:44:21,2.006s,PASSED
"click(findTestObject(""Object Repository/ComputerSearchBD/Page_Computers database/a_HP 2133 Mini-Note PC""))",Chrome 119.0.0.0,,,2023-11-27 18:44:21,2023-11-27 18:44:23,1.317s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/ComputerSearchBD/Page_Computers database/select_-- Choose a company --Apple Inc.Thin_aed4be""), ""21"", true)",Chrome 119.0.0.0,,,2023-11-27 18:44:23,2023-11-27 18:44:25,2.924s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/ComputerSearchBD/Page_Computers database/select_-- Choose a company --Apple Inc.Thin_aed4be""), ""26"", true)",Chrome 119.0.0.0,,,2023-11-27 18:44:25,2023-11-27 18:44:29,3.197s,PASSED
"click(findTestObject(""Object Repository/ComputerSearchBD/Page_Computers database/input_or_btn primary""))",Chrome 119.0.0.0,,,2023-11-27 18:44:29,2023-11-27 18:44:31,2.421s,PASSED
takeFullPageScreenshot(),Chrome 119.0.0.0,,,2023-11-27 18:44:31,2023-11-27 18:44:33,1.807s,PASSED
"click(findTestObject(""Object Repository/ComputerSearchBD/Page_Computers database/a_Computer database""))",Chrome 119.0.0.0,,,2023-11-27 18:44:33,2023-11-27 18:44:35,1.773s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-27 18:44:35,2023-11-27 18:44:35,0.836s,PASSED
,,,,,,,
Test Cases/CuraHealthLogin,Chrome 119.0.0.0,,,2023-11-27 18:44:36,2023-11-27 18:44:52,16.317s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-27 18:44:36,2023-11-27 18:44:38,1.399s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 119.0.0.0,,,2023-11-27 18:44:38,2023-11-27 18:44:42,4.552s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-27 18:44:42,2023-11-27 18:44:42,0.131s,PASSED
"click(findTestObject(""Object Repository/CuraHealth/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 119.0.0.0,,,2023-11-27 18:44:42,2023-11-27 18:44:43,0.409s,PASSED
"click(findTestObject(""Object Repository/CuraHealth/Page_CURA Healthcare Service/a_Login""))",Chrome 119.0.0.0,,,2023-11-27 18:44:43,2023-11-27 18:44:44,1.548s,PASSED
"click(findTestObject(""Object Repository/CuraHealth/Page_CURA Healthcare Service/input_Demo account_form-control""))",Chrome 119.0.0.0,,,2023-11-27 18:44:44,2023-11-27 18:44:45,0.504s,PASSED
"click(findTestObject(""Object Repository/CuraHealth/Page_CURA Healthcare Service/input_Demo account_form-control_1""))",Chrome 119.0.0.0,,,2023-11-27 18:44:45,2023-11-27 18:44:45,0.424s,PASSED
"click(findTestObject(""Object Repository/CuraHealth/Page_CURA Healthcare Service/button_Login""))",Chrome 119.0.0.0,,,2023-11-27 18:44:45,2023-11-27 18:44:47,1.302s,PASSED
"click(findTestObject(""Object Repository/CuraHealth/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""))",Chrome 119.0.0.0,,,2023-11-27 18:44:47,2023-11-27 18:44:47,0.597s,PASSED
takeFullPageScreenshot(),Chrome 119.0.0.0,,,2023-11-27 18:44:47,2023-11-27 18:44:50,2.896s,PASSED
"click(findTestObject(""Object Repository/CuraHealth/Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""))",Chrome 119.0.0.0,,,2023-11-27 18:44:50,2023-11-27 18:44:50,0.404s,PASSED
"click(findTestObject(""Object Repository/CuraHealth/Page_CURA Healthcare Service/a_Home""))",Chrome 119.0.0.0,,,2023-11-27 18:44:50,2023-11-27 18:44:52,1.414s,PASSED
,,,,,,,
Test Cases/LaptopSearchDB,Chrome 119.0.0.0,,,2023-11-27 18:44:52,2023-11-27 18:45:08,15.796s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-27 18:44:52,2023-11-27 18:44:55,2.354s,PASSED
"navigateToUrl(""https://computer-database.gatling.io/computers"")",Chrome 119.0.0.0,,,2023-11-27 18:44:55,2023-11-27 18:44:56,1.667s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-27 18:44:56,2023-11-27 18:44:56,0.139s,PASSED
"setText(findTestObject(""Object Repository/LaptopSearchDB/Page_Computers database/input_Computer database_f""), ""Del"")",Chrome 119.0.0.0,,,2023-11-27 18:44:56,2023-11-27 18:44:57,0.960s,PASSED
"click(findTestObject(""Object Repository/LaptopSearchDB/Page_Computers database/input_Computer database_searchsubmit""))",Chrome 119.0.0.0,,,2023-11-27 18:44:57,2023-11-27 18:44:58,1.208s,PASSED
"click(findTestObject(""Object Repository/LaptopSearchDB/Page_Computers database/a_Dell Inspiron 560 Desktop Computer""))",Chrome 119.0.0.0,,,2023-11-27 18:44:58,2023-11-27 18:45:01,2.175s,PASSED
takeFullPageScreenshot(),Chrome 119.0.0.0,,,2023-11-27 18:45:01,2023-11-27 18:45:02,1.070s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/LaptopSearchDB/Page_Computers database/select_-- Choose a company --Apple Inc.Thin_aed4be""), ""13"", true)",Chrome 119.0.0.0,,,2023-11-27 18:45:02,2023-11-27 18:45:04,2.221s,PASSED
"click(findTestObject(""Object Repository/LaptopSearchDB/Page_Computers database/input_or_btn primary""))",Chrome 119.0.0.0,,,2023-11-27 18:45:04,2023-11-27 18:45:05,1.459s,PASSED
"click(findTestObject(""Object Repository/LaptopSearchDB/Page_Computers database/a_Computer database""))",Chrome 119.0.0.0,,,2023-11-27 18:45:05,2023-11-27 18:45:07,1.445s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-27 18:45:07,2023-11-27 18:45:08,0.773s,PASSED
,,,,,,,
Test Cases/LoginApplitools,Chrome 119.0.0.0,,,2023-11-27 18:45:08,2023-11-27 18:45:18,10.274s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-27 18:45:08,2023-11-27 18:45:10,1.343s,PASSED
"navigateToUrl(""https://demo.applitools.com/"")",Chrome 119.0.0.0,,,2023-11-27 18:45:10,2023-11-27 18:45:12,2.368s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-27 18:45:12,2023-11-27 18:45:12,0.136s,PASSED
"setText(findTestObject(""Object Repository/ApplitetoolsLogin/Page_ACME Demo App by Applitools/input_Username_username""), ""Test123"")",Chrome 119.0.0.0,,,2023-11-27 18:45:12,2023-11-27 18:45:13,0.917s,PASSED
"setEncryptedText(findTestObject(""Object Repository/ApplitetoolsLogin/Page_ACME Demo App by Applitools/input_Password_password""), ""cvW8qx4B2o3F4VwP/kNsqA=="")",Chrome 119.0.0.0,,,2023-11-27 18:45:13,2023-11-27 18:45:14,0.567s,PASSED
"click(findTestObject(""Object Repository/ApplitetoolsLogin/Page_ACME Demo App by Applitools/a_Sign in""))",Chrome 119.0.0.0,,,2023-11-27 18:45:14,2023-11-27 18:45:15,0.985s,PASSED
"setText(findTestObject(""Object Repository/ApplitetoolsLogin/Page_ACME demo app/input_text""), ""Starbucks"")",Chrome 119.0.0.0,,,2023-11-27 18:45:15,2023-11-27 18:45:16,0.899s,PASSED
"sendKeys(findTestObject(""Object Repository/ApplitetoolsLogin/Page_ACME demo app/input_text""), Keys.chord(ENTER))",Chrome 119.0.0.0,,,2023-11-27 18:45:16,2023-11-27 18:45:16,0.463s,PASSED
"takeElementScreenshot(findTestObject(""ApplitetoolsLogin/Page_ACME demo app/span_View Statement""))",Chrome 119.0.0.0,,,2023-11-27 18:45:16,2023-11-27 18:45:17,0.697s,PASSED
"click(findTestObject(""Object Repository/ApplitetoolsLogin/Page_ACME demo app/span_View Statement""))",Chrome 119.0.0.0,,,2023-11-27 18:45:17,2023-11-27 18:45:17,0.453s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-27 18:45:17,2023-11-27 18:45:18,0.715s,PASSED
