Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BankLogin,Chrome 119.0.0.0,,,2023-11-27 18:48:05,2023-11-27 18:50:04,1m - 59.654s,PASSED
,,,,,,,
Test Cases/CustomerAlbusLogin,Chrome 119.0.0.0,,,2023-11-27 18:48:05,2023-11-27 18:48:23,17.833s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-27 18:48:06,2023-11-27 18:48:09,3.526s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/login"")",Chrome 119.0.0.0,,,2023-11-27 18:48:09,2023-11-27 18:48:13,3.666s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-27 18:48:13,2023-11-27 18:48:13,0.208s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Customer Login""))",Chrome 119.0.0.0,,,2023-11-27 18:48:13,2023-11-27 18:48:14,1.084s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/select_---Your Name---       Hermoine Grang_6e895b""), ""4"", true)",Chrome 119.0.0.0,,,2023-11-27 18:48:14,2023-11-27 18:48:16,1.935s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Login""))",Chrome 119.0.0.0,,,2023-11-27 18:48:16,2023-11-27 18:48:17,0.566s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/select_101010111012""), ""number:1012"", true)",Chrome 119.0.0.0,,,2023-11-27 18:48:17,2023-11-27 18:48:19,2.306s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Deposit""))",Chrome 119.0.0.0,,,2023-11-27 18:48:19,2023-11-27 18:48:20,0.591s,PASSED
"setText(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/input_Amount to be Deposited_form-control n_97f4dd""), ""100"")",Chrome 119.0.0.0,,,2023-11-27 18:48:20,2023-11-27 18:48:21,1.426s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Deposit_1""))",Chrome 119.0.0.0,,,2023-11-27 18:48:21,2023-11-27 18:48:22,0.548s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Home""))",Chrome 119.0.0.0,,,2023-11-27 18:48:22,2023-11-27 18:48:22,0.578s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-27 18:48:22,2023-11-27 18:48:23,0.862s,PASSED
,,,,,,,
Test Cases/CustomerHarryLogin,Chrome 119.0.0.0,,,2023-11-27 18:48:23,2023-11-27 18:48:40,17.211s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-27 18:48:24,2023-11-27 18:48:25,1.474s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/login"")",Chrome 119.0.0.0,,,2023-11-27 18:48:25,2023-11-27 18:48:29,3.568s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-27 18:48:29,2023-11-27 18:48:29,0.154s,PASSED
